349533.3333	64650	11263	2495.014439	7285.714286	27525.80645	40093.83	252	275	14.77	34.6	66	6.69	21.6	3.78	0.31	3.42	0.63	3.91	0.839	2.51	0.45	3.24	0.5	82	24.2	10.67901235	3.388429752
355320	62800	9877	2277.124584	7142.857143	26412.90323	37271.49	193	303	16.77	29.5	56.8	5.78	18.9	3.7	0.34	3.13	0.56	3.75	0.783	2.48	0.44	3.23	0.52	82	24.4	9.133126935	3.360655738
335953.3333	70400	16296	2942.801264	12857.14286	25893.54839	36441.39	587	241	14.43	39.6	79.4	7.73	25.4	4.55	0.65	3.82	0.71	4.06	0.845	2.61	0.43	3.05	0.5	230	25	12.98360656	9.2
355926.6667	62550	9555	2583.432091	5928.571429	26561.29032	37686.54	109	347	20.36	26.9	55	5.96	20.1	4.43	0.18	4.26	0.84	5.19	1.15	3.84	0.64	4.62	0.67	37.8	34.7	5.822510823	1.089337176
354526.6667	62550	10374	2652.119673	6571.428571	25077.41935	38931.69	214	314	20.11	31	61.9	6.34	20.9	4.13	0.24	3.67	0.67	4.18	0.86	2.84	0.48	3.5	0.55	63.8	25.8	8.857142857	2.472868217
354153.3333	62700	9450	2761.769691	6000	25077.41935	40010.82	116	357	20.78	28.5	58.3	6.16	20.8	4.42	0.21	4.25	0.79	4.88	1.06	3.45	0.6	4.35	0.68	38.4	32.6	6.551724138	1.17791411
351026.6667	64550	11158	2223.11002	6500	25448.3871	42335.1	185	266	18.52	32.1	61	6.1	19.8	3.85	0.28	3.35	0.65	4.13	0.94	3.06	0.51	3.97	0.65	89.1	28.6	8.085642317	3.115384615
336700	66600	13825	3250.050672	16357.14286	26041.93548	37354.5	411	260	12.8	31.6	60	6.33	20.1	3.6	0.49	3.07	0.49	3.01	0.67	1.94	0.33	2.33	0.37	150	20	13.56223176	7.5
351960	65100	8680	874.7607848	6714.285714	26190.32258	38184.6	111	431	33	28.2	60.8	7.3	25.9	6.1	0.16	6.51	1.2	8.12	1.73	5.28	0.93	7.01	0.94	46	59.9	4.022824536	0.767946578
359706.6667	61100	8820	1239.674554	5857.142857	23816.12903	38350.62	119	339	17.4	29.1	55.3	6.07	18.9	3.5	0.23	3.44	0.6	3.85	0.85	2.68	0.45	3.67	0.52	44.8	27.5	7.929155313	1.629090909
334273.3333	67100	20146	2598.464089	15785.71429	24558.06452	35279.25	436	208	17.5	41.4	78.3	8.66	29.4	5.01	0.59	4.69	0.8	4.96	1.03	3.29	0.52	3.6	0.49	166	32.7	11.5	5.076452599
327506.6667	75350	17843	3457.688043	10428.57143	28638.70968	38433.63	1188	166	12.3	29.3	56.8	7.23	31.8	8.01	1.65	8.78	1.5	10.1	2.12	6.7	0.99	6.43	0.93	203	65.3	4.556765163	3.108728943
330260	72650	18221	5314.047686	7285.714286	25374.19355	30464.67	291	239	13.2	21.45	40.6	4.87	18.08	3.93	0.62	3.93	0.61	3.41	0.67	1.76	0.27	1.7	0.26	78.2	18.07	12.61764706	4.327614831
364326.6667	55500	5950	4033.123957	5785.714286	11722.58065	50636.1	550	185	11.4	21.82	41.22	4.61	16.72	3.56	0.88	4.21	0.71	4.43	1	2.95	0.45	2.65	0.41	135	28.82	8.233962264	4.684247051
340386.6667	73050	10801	3393.154829	17214.28571	33090.32258	19341.33	487	66.1	6.05	17.23	34.54	4.08	14.01	2.74	0.73	2.46	0.38	2.07	0.45	1.25	0.21	1.32	0.22	413	11.97	13.0530303	34.50292398
357700	62600	8001	1601.304032	4928.571429	27970.96774	39014.7	144	345	21.5	32.1	63.7	7.82	32.3	7.84	0.2	7.51	1.25	7.95	1.64	5.23	0.82	5.39	0.82	25	47.5	5.955473098	0.526315789
344820	67200	13041	1047.253024	3642.857143	35464.51613	36192.36	298	68.2	10.2	35	74.88	9.71	36.27	8.55	0.39	8.47	1.36	7.1	1.47	3.95	0.62	3.84	0.6	447	37.55	9.114583333	11.90412783
350513.3333	63850	11004	2170.734239	6642.857143	24706.45161	39263.73	374	234	11.3	37.4	60.4	6.28	21.8	3.55	0.51	2.87	0.45	2.74	0.56	1.82	0.28	2.04	0.33	118	17.4	18.33333333	6.781609195
